age0to19,age20to39,age40to59,age60to79,age80over,house
28,38,53,88,30,97
31,32,69,70,34,96
24,68,56,59,28,144
43,52,66,64,9,91
42,49,58,62,22,100
16,30,57,82,48,94
47,41,83,50,12,89
30,73,58,51,20,107
35,51,61,64,19,99
31,35,55,76,31,109
23,33,52,84,36,97
27,50,59,52,39,124
32,34,58,75,26,98
25,27,61,81,31,88
22,69,55,52,26,127
37,40,51,63,32,87
46,50,61,42,24,97
27,48,66,58,23,90
14,64,64,59,19,143
26,39,72,63,18,106
25,36,64,71,21,112
30,58,51,59,19,100
27,34,52,74,29,78
26,42,51,66,28,104
43,31,52,58,29,97
19,59,69,48,15,133
27,38,57,67,17,80
20,46,45,65,30,104
21,41,53,64,26,70
29,37,62,60,15,84
24,36,46,85,11,85
36,29,44,62,29,77
25,81,48,34,11,125
31,27,49,63,29,78
17,33,45,68,27,72
23,37,52,53,25,62
26,31,48,67,17,74
27,46,47,48,20,84
16,49,49,47,27,113
13,27,46,75,26,76
32,60,42,41,11,102
17,34,49,71,14,74
13,22,50,69,30,95
25,37,39,64,19,95
21,39,41,60,23,81
16,30,41,70,26,111
19,26,36,63,39,69
19,63,40,49,11,102
9,24,47,65,35,86
15,42,47,62,14,116
35,27,45,48,23,60
13,44,50,52,18,115
12,20,43,64,38,84
6,25,32,70,44,75
16,43,44,57,15,69
10,20,52,66,27,82
26,59,43,41,5,107
16,36,47,56,16,91
21,34,37,50,28,54
19,41,34,52,21,85
20,16,60,50,20,85
20,28,42,56,19,85
21,28,40,47,28,80
18,35,42,52,17,72
24,38,37,45,14,79
33,37,40,33,14,65
23,42,44,35,12,79
20,20,48,41,21,74
23,21,40,48,16,68
20,33,34,53,6,66
14,23,37,47,23,61
16,23,43,48,14,51
10,20,28,64,22,60
15,26,37,51,14,53
22,31,42,33,12,74
13,18,35,41,30,59
13,11,28,50,30,61
12,21,25,51,20,50
15,24,24,43,22,58
18,38,34,30,6,54
9,13,32,44,27,48
17,17,33,33,25,52
10,23,30,42,19,69
5,23,22,53,21,49
10,17,22,51,21,63
6,22,31,38,22,70
11,19,34,39,13,62
8,33,30,29,15,78
5,13,26,61,8,67
38,47,20,6,0,57
4,19,28,43,14,62
4,6,9,34,55,89
11,14,32,35,16,59
3,44,30,20,9,70
20,21,17,41,6,46
18,28,25,26,7,37
12,16,34,32,9,56
12,14,32,32,12,57
10,16,23,44,8,47
18,29,22,26,6,48
11,10,20,43,15,53
10,20,24,31,14,52
19,28,31,17,4,52
16,16,22,28,15,48
17,16,22,36,5,36
7,6,17,37,28,56
3,12,18,40,21,47
7,6,23,39,18,46
7,14,18,33,19,39
10,9,25,28,17,37
6,10,21,35,17,35
12,27,24,18,6,49
6,15,19,27,20,42
6,13,22,21,22,34
8,36,18,10,11,46
11,10,18,23,21,27
14,24,23,18,4,35
15,16,19,24,5,28
2,22,22,23,8,56
6,12,20,25,14,27
11,8,22,23,12,26
2,9,11,33,20,30
0,0,0,17,56,72
6,8,15,30,14,29
7,18,31,12,4,36
0,4,15,30,23,36
6,13,21,23,7,32
4,14,9,30,13,26
11,12,20,16,8,28
8,11,15,23,9,29
11,4,15,26,9,29
4,17,25,14,3,49
0,7,11,25,14,28
4,8,14,23,7,25
11,7,12,19,7,23
2,4,19,24,6,26
9,6,18,16,6,23
2,10,11,16,14,21
4,18,11,13,6,36
2,7,14,19,9,25
9,9,16,14,2,19
4,6,14,14,9,21
0,5,5,24,13,23
0,1,7,23,14,28
7,6,12,10,9,16
4,4,13,18,5,19
4,7,15,13,3,26
12,4,9,10,7,15
6,8,14,10,4,13
0,4,4,22,11,21
5,5,7,18,5,16
0,2,2,15,14,22
0,3,7,17,5,18
0,1,4,13,13,20
7,5,7,6,3,7
4,9,2,11,1,8
0,1,1,16,8,17
3,4,6,7,5,11
3,2,8,11,1,10
5,3,7,7,3,11
5,5,8,4,2,12
0,0,6,11,7,11
5,7,6,5,0,10
2,4,2,8,4,10
6,2,7,4,1,6
0,0,5,12,3,18
0,5,7,7,1,12
0,1,0,12,6,10
0,1,5,5,6,10
5,3,4,4,0,5
0,0,0,7,8,9
0,6,7,1,1,5
0,4,4,6,0,13
0,0,1,5,7,11
0,0,1,3,8,9
0,3,0,5,4,6
0,2,3,2,4,5
0,0,1,5,5,7
0,0,0,6,5,9
4,0,5,2,0,4
0,0,4,4,2,6
0,0,2,3,4,6
1,0,2,2,2,4
0,0,0,0,0,
0,0,0,0,0,
