町コード,区,町名,総数,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上,世帯数
23015,葵区,北安東五丁目,2571,99,93,127,152,137,122,155,149,151,170,192,143,169,177,140,148,116,131,1129
23020,葵区,城北,365,7,14,15,14,19,27,19,28,34,25,29,27,30,21,15,11,14,16,197
23022,葵区,城北二丁目,1248,41,44,61,53,58,53,68,86,83,76,76,75,78,100,92,84,67,53,551
23200,葵区,上足洗,24,0,2,1,2,2,1,2,0,2,1,2,3,1,1,2,0,2,0,12
23201,葵区,上足洗一丁目,1243,49,53,69,63,52,39,61,83,80,102,90,101,66,103,69,50,44,69,533
23202,葵区,上足洗二丁目,1452,92,82,61,73,57,63,96,96,93,99,83,95,91,104,60,67,56,84,607
23203,葵区,上足洗三丁目,1581,68,62,70,69,77,73,81,105,127,111,94,121,101,105,66,98,78,75,682
23204,葵区,上足洗四丁目,981,56,43,38,61,39,66,56,76,64,75,63,69,58,57,42,39,37,42,411
23210,葵区,千代田,47,0,0,0,4,4,1,0,1,2,3,5,4,6,2,5,1,6,3,21
23211,葵区,千代田一丁目,632,23,20,29,31,21,30,41,33,26,53,44,43,49,51,41,44,23,30,289
23212,葵区,千代田二丁目,1081,77,48,46,46,68,88,70,74,74,73,63,54,50,57,48,66,46,33,489
23213,葵区,千代田三丁目,650,27,23,43,28,28,23,38,33,42,52,56,45,25,36,37,40,33,41,274
23214,葵区,千代田四丁目,679,26,15,12,32,24,38,45,31,41,49,44,53,52,68,40,36,34,39,315
23215,葵区,千代田五丁目,1172,61,55,54,66,63,67,77,79,76,105,85,75,54,76,49,36,57,37,477
23216,葵区,千代田六丁目,1200,63,59,64,65,51,55,62,79,106,86,74,87,56,84,66,39,47,57,525
23217,葵区,千代田七丁目,897,43,46,41,44,45,48,46,62,83,88,65,52,51,77,32,35,22,17,379
23221,葵区,東千代田一丁目,1111,48,56,49,61,68,57,49,70,95,82,71,68,67,71,60,68,39,32,466
23222,葵区,東千代田二丁目,1174,44,32,31,54,49,39,60,49,79,76,77,45,61,103,85,115,109,66,615
23223,葵区,東千代田三丁目,338,26,21,13,19,26,35,28,30,40,22,18,15,13,12,6,9,3,2,156
23231,葵区,竜南一丁目,1443,64,89,60,66,48,55,94,110,131,102,101,92,100,96,68,66,47,54,647
23232,葵区,竜南二丁目,72,1,1,2,3,7,8,2,1,12,6,9,4,2,3,5,2,2,2,36
23233,葵区,竜南三丁目,1074,44,61,87,57,56,55,60,85,108,88,75,72,67,59,38,34,12,16,442
23400,葵区,銭座町,672,26,20,19,23,44,40,26,37,30,47,40,54,46,64,37,29,38,52,337
23410,葵区,上沓谷町,223,3,11,10,13,7,9,12,12,9,10,20,12,22,16,9,16,15,17,87
23420,葵区,沓谷,79,4,2,3,6,2,6,4,4,7,3,3,6,7,10,5,2,3,2,28
23421,葵区,沓谷一丁目,1679,71,80,80,70,65,79,73,94,111,125,112,111,108,125,82,78,92,123,728
23422,葵区,沓谷二丁目,519,19,18,24,24,25,30,26,24,27,36,36,46,21,27,31,46,32,27,219
23423,葵区,沓谷三丁目,401,17,15,11,11,17,19,33,29,23,35,18,26,26,33,20,23,19,26,181
23424,葵区,沓谷四丁目,820,25,48,42,29,42,46,30,54,52,52,65,52,47,65,52,36,42,41,341
23425,葵区,沓谷五丁目,496,19,27,28,22,40,21,37,34,46,38,39,35,23,25,20,13,17,12,219
23426,葵区,沓谷六丁目,950,51,37,48,48,49,61,65,73,86,79,73,57,51,46,44,37,28,17,445
23600,葵区,柚木,275,25,17,8,9,7,15,35,26,26,24,9,19,11,8,16,9,7,4,119
23610,葵区,宮前町,468,12,11,10,22,36,40,23,27,26,35,23,25,35,45,36,20,22,20,259
23620,葵区,長沼,2625,183,150,107,95,94,115,207,224,253,268,176,131,136,155,87,86,72,86,1158
23624,葵区,長沼一丁目,448,25,20,21,15,26,34,42,19,37,35,28,18,27,23,26,19,19,14,185
23625,葵区,長沼二丁目,876,39,46,47,30,43,51,52,66,90,79,63,40,30,67,53,39,25,16,386
23626,葵区,長沼三丁目,422,13,14,27,22,29,31,20,29,40,51,29,32,32,15,8,13,11,6,207
23631,葵区,古庄一丁目,409,7,7,12,15,29,26,22,30,30,33,29,36,33,34,19,18,11,18,220
23632,葵区,古庄二丁目,736,51,44,32,33,32,27,62,62,52,61,46,42,41,46,33,32,22,18,297
23633,葵区,古庄三丁目,1916,95,85,61,79,93,132,126,125,140,141,102,119,103,140,93,114,88,80,905
23634,葵区,古庄四丁目,968,48,44,39,52,55,56,60,66,81,75,70,48,37,63,43,74,29,28,416
23635,葵区,古庄五丁目,1370,67,63,58,60,57,84,88,112,115,103,82,80,79,95,75,62,48,42,581
23636,葵区,古庄六丁目,653,24,24,21,39,40,26,43,45,46,51,47,49,55,39,28,36,22,18,287
23801,葵区,川合一丁目,728,44,34,28,33,36,47,54,66,50,51,38,44,33,64,31,30,17,28,309
23802,葵区,川合二丁目,1970,78,79,90,93,89,94,100,117,153,168,107,112,127,180,128,124,72,59,835
23803,葵区,川合三丁目,1205,37,70,56,67,65,69,77,76,105,106,78,65,60,103,63,53,28,27,529
23861,葵区,上土一丁目,1452,78,44,45,47,65,96,93,97,108,116,92,71,104,99,93,71,70,63,651
23862,葵区,上土二丁目,1159,42,34,47,49,65,84,81,67,90,65,71,81,77,95,66,52,34,59,524
23870,葵区,南沼上,249,9,15,21,11,8,6,21,29,37,22,12,8,18,13,8,7,1,3,120
23871,葵区,南沼上一丁目,921,28,38,28,50,51,50,48,43,74,77,59,71,45,51,50,72,46,40,393
23872,葵区,南沼上二丁目,735,21,33,30,37,33,41,35,27,48,55,44,53,34,47,63,61,47,26,318
23873,葵区,南沼上三丁目,1146,36,51,44,51,59,60,61,66,80,80,62,66,82,123,80,56,30,59,473
23880,葵区,北沼上,963,22,34,41,34,29,48,46,48,59,60,53,61,77,103,83,66,51,48,391
23890,葵区,長尾,260,7,10,4,8,10,11,18,12,7,9,13,17,26,30,12,12,19,35,128
23900,葵区,平山,283,6,7,6,12,8,8,5,15,18,20,11,18,28,29,20,32,18,22,121
24011,葵区,瀬名川一丁目,2652,149,151,119,116,118,140,182,210,235,213,128,123,152,206,163,108,85,54,1147
24012,葵区,瀬名川二丁目,2215,122,75,93,100,111,168,180,147,178,160,112,117,139,154,116,115,62,66,955
24013,葵区,瀬名川三丁目,1715,90,98,100,88,53,90,144,155,156,115,80,79,85,128,101,70,52,31,716
24100,葵区,瀬名,108,1,0,0,3,3,2,0,1,3,1,1,4,6,3,10,15,22,33,89
24101,葵区,瀬名一丁目,3281,111,131,134,177,175,160,180,192,238,221,179,178,229,313,248,188,121,106,1572
24102,葵区,瀬名二丁目,2014,98,104,93,88,102,104,128,119,179,139,118,120,117,185,111,104,58,47,831
24103,葵区,瀬名三丁目,2538,95,118,112,135,162,119,136,167,196,180,178,150,171,187,139,145,82,66,1039
24104,葵区,瀬名四丁目,554,15,24,22,24,16,30,34,22,51,40,30,36,43,55,45,30,20,17,230
24105,葵区,瀬名五丁目,1400,38,84,89,83,62,42,55,87,136,119,66,76,82,132,102,76,38,33,547
24106,葵区,瀬名六丁目,1682,70,95,86,99,103,106,103,111,161,118,115,104,86,123,76,64,37,25,687
24107,葵区,瀬名七丁目,1663,47,92,99,100,84,58,71,89,168,131,94,97,83,135,93,94,73,55,677
24111,葵区,瀬名中央一丁目,1473,62,66,66,58,61,73,98,91,140,114,66,81,90,143,103,79,40,42,632
24112,葵区,瀬名中央二丁目,925,29,34,28,41,39,28,51,63,72,62,55,59,54,89,92,67,35,27,428
24113,葵区,瀬名中央三丁目,1451,56,86,77,69,61,61,63,116,126,97,66,73,73,112,93,82,74,66,648
24114,葵区,瀬名中央四丁目,790,35,35,27,41,48,40,45,52,64,68,55,51,36,57,58,42,14,22,325
24120,葵区,東瀬名町,711,18,34,52,49,23,11,16,41,72,64,46,33,33,61,61,44,29,24,283
24130,葵区,南瀬名町,1195,43,43,49,41,54,61,83,71,97,89,70,60,70,111,89,84,37,43,541
24140,葵区,西瀬名町,1329,61,31,47,53,49,76,92,88,85,80,61,84,76,143,95,101,54,53,648
24200,葵区,池ヶ谷,458,14,15,19,29,25,27,25,23,30,33,29,48,30,40,19,24,13,15,197
24201,葵区,池ヶ谷東,859,27,30,26,50,45,36,45,47,62,63,61,48,53,67,59,44,55,41,391
24210,葵区,南,744,16,27,30,43,24,26,32,42,48,42,56,47,76,86,45,40,25,39,290
24211,葵区,唐瀬一丁目,1515,54,52,62,72,86,70,78,80,103,122,108,135,120,128,88,60,59,38,656
24212,葵区,唐瀬二丁目,981,40,61,71,40,29,27,40,76,100,78,64,34,56,90,54,62,39,20,399
24213,葵区,唐瀬三丁目,373,9,9,16,21,20,14,19,13,21,19,29,39,22,40,18,27,21,16,140
24220,葵区,有永,622,30,33,26,27,18,27,43,28,42,35,33,42,45,61,34,36,28,34,243
24231,葵区,羽高町※秘11,300,13,8,14,8,15,16,15,13,22,15,13,22,30,30,25,13,6,22,120
24232,葵区,あさはた一丁目,1199,18,42,61,70,60,35,54,60,88,72,71,51,97,136,91,98,71,24,614
24233,葵区,あさはた二丁目,407,10,23,17,17,16,14,17,31,32,20,25,26,19,60,28,21,17,14,167
24240,葵区,北,113,1,1,2,1,3,3,2,5,5,7,5,9,10,20,17,14,5,3,67
24241,葵区,北一丁目,786,30,39,34,35,31,46,53,31,63,53,44,56,50,68,53,43,24,33,316
24242,葵区,北二丁目,1068,24,31,58,44,32,41,34,59,86,81,51,60,67,138,115,71,42,34,452
24243,葵区,北三丁目,1530,48,53,58,59,42,63,79,88,95,96,72,77,115,182,139,127,66,71,695
24244,葵区,北四丁目,902,18,33,43,47,40,30,33,47,85,55,40,46,80,125,80,53,25,22,367
